time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placements
202425,Academic year,Local authority,E92000001,England,London,E12000007,205,Hammersmith and Fulham,E09000013,Total,178
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,One on one tuition,9
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,Education setting with URN,54
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,Total,63
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,Education setting with URN,54
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,One on one tuition,16
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,Total,70
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,Other unregistered provider,2
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,Non-maintained further education college,2
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,Registered provider with UKPRN,23
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,One on one tuition,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,Education setting with URN,160
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,Total,188
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,One on one tuition,50
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Work based placement,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Registered provider with UKPRN,12
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Education setting with URN,659
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Other unregistered provider,53
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Non-maintained further education college,6
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,Total,781
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,Registered provider with UKPRN,7
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,Non-maintained further education college,35
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,One on one tuition,90
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,Education setting with URN,205
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,Total,337
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,Registered provider with UKPRN,9
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,Other unregistered provider,5
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,One on one tuition,19
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,Education setting with URN,155
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,Total,188
202425,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,Education setting with URN,284
202425,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,One on one tuition,39
202425,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,Other unregistered provider,7
202425,Academic year,Local authority,E92000001,England,London,E12000007,212,Wandsworth,E09000032,Total,330
202425,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,Other unregistered provider,3
202425,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,One on one tuition,14
202425,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,Education setting with URN,73
202425,Academic year,Local authority,E92000001,England,London,E12000007,213,Westminster,E09000033,Total,90
202425,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,One on one tuition,43
202425,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,Registered provider with UKPRN,6
202425,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,Education setting with URN,71
202425,Academic year,Local authority,E92000001,England,London,E12000007,301,Barking and Dagenham,E09000002,Total,120
202425,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,Education setting with URN,205
202425,Academic year,Local authority,E92000001,England,London,E12000007,302,Barnet,E09000003,Total,205
202425,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,Education setting with URN,157
202425,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,One on one tuition,64
202425,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,Registered provider with UKPRN,3
202425,Academic year,Local authority,E92000001,England,London,E12000007,303,Bexley,E09000004,Total,224
202425,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,One on one tuition,14
202425,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,Education setting with URN,123
202425,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,Other unregistered provider,92
202425,Academic year,Local authority,E92000001,England,London,E12000007,304,Brent,E09000005,Total,229
202425,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,Non-maintained further education college,14
202425,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,One on one tuition,89
202425,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,Education setting with URN,435
202425,Academic year,Local authority,E92000001,England,London,E12000007,305,Bromley,E09000006,Total,538
202425,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,Education setting with URN,553
202425,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,One on one tuition,97
202425,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,Registered provider with UKPRN,14
202425,Academic year,Local authority,E92000001,England,London,E12000007,306,Croydon,E09000008,Total,665
202425,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,Registered provider with UKPRN,9
202425,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,Education setting with URN,306
202425,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,Other unregistered provider,22
202425,Academic year,Local authority,E92000001,England,London,E12000007,307,Ealing,E09000009,Total,337
202425,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,Registered provider with UKPRN,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,Other unregistered provider,98
202425,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,Education setting with URN,248
202425,Academic year,Local authority,E92000001,England,London,E12000007,308,Enfield,E09000010,Total,347
202425,Academic year,Local authority,E92000001,England,London,E12000007,309,Haringey,E09000014,Education setting with URN,255
202425,Academic year,Local authority,E92000001,England,London,E12000007,309,Haringey,E09000014,One on one tuition,15
