time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Infant (Reception plus KS1),31 to 35,11,344,31.27272727
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Infant (Reception plus KS1),Total,602,14735,24.47674419
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,KS2,1 to 30,685,16592,24.22189781
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,KS2,31 to 35,99,3169,32.01010101
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,KS2,36 plus,4,150,37.5
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,KS2,Total,788,19911,25.2677665
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,1 to 30,1431,34183,23.88749126
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,31 to 35,117,3735,31.92307692
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,36 plus,11,458,41.63636364
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary,Total,1559,38376,24.61577935
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,1 to 30,1197,22502,18.79866332
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,31 to 35,66,2083,31.56060606
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,36 plus,3,145,48.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Secondary,Total,1266,24730,19.53396524
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Infant (Reception plus KS1),1 to 30,120,3263,27.19166667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Infant (Reception plus KS1),31 to 35,3,94,31.33333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Infant (Reception plus KS1),Total,123,3357,27.29268293
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS2,1 to 30,146,3718,25.46575342
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS2,31 to 35,21,660,31.42857143
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,KS2,Total,167,4378,26.21556886
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,1 to 30,285,7391,25.93333333
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,31 to 35,28,887,31.67857143
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,36 plus,2,84,42
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary,Total,315,8362,26.54603175
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,1 to 30,254,5302,20.87401575
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,31 to 35,20,647,32.35
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,36 plus,6,233,38.83333333
