time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,Permanent exclusion,120,1315,9.125475285
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,881,Essex,E10000012,Total,Physical health need,209,1315,15.89353612
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Education setting with UKPRN,Total,13,55,23.63636364
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Education setting with URN,Total,28,55,50.90909091
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,One on one tuition,Total,14,55,25.45454545
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Total,Total,55,55,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Total,New arrival without a school place,2,55,3.636363636
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Total,Other including pregnancy/childcare,9,55,16.36363636
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,882,Southend-on-Sea,E06000033,Total,Setting named on EHC plan,44,55,80
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Education setting with URN,Total,44,119,36.97478992
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,One on one tuition,Total,74,119,62.18487395
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Other unregistered provider,Total,1,119,0.840336134
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Total,119,119,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Mental health need,21,119,17.64705882
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Other including pregnancy/childcare,16,119,13.44537815
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Permanent exclusion,3,119,2.521008403
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Physical health need,3,119,2.521008403
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,883,Thurrock,E06000034,Total,Setting named on EHC plan,76,119,63.86554622
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Education setting with URN,Total,520,925,56.21621622
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,One on one tuition,Total,372,925,40.21621622
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Other unregistered provider,Total,33,925,3.567567567
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Total,925,925,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Mental health need,112,925,12.10810811
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,New arrival without a school place,2,925,0.216216216
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Other including pregnancy/childcare,25,925,2.702702702
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Permanent exclusion,34,925,3.675675675
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Physical health need,25,925,2.702702702
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,919,Hertfordshire,E10000015,Total,Setting named on EHC plan,727,925,78.59459459
