time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Medical condition (mental health need),Education setting with URN,16
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Medical condition (mental health need),One on one tuition,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Medical condition (mental health need),Other unregistered provider,14
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Medical condition (mental health need),Total,35
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Medical condition (mental health need),Work based placement,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,Education setting with URN,21
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,Non-maintained further education college,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,One on one tuition,11
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,Total,46
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Off-site placement for behavioural support,Work based placement,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Education setting with URN,13
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Non-maintained further education college,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,One on one tuition,6
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Other unregistered provider,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Registered provider with UKPRN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Total,39
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Placement Reason,Other,Work based placement,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Education setting with URN,50
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Non-maintained further education college,6
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,One on one tuition,21
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Other unregistered provider,31
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Registered provider with UKPRN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Total,120
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Total,Total,Work based placement,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Medical condition (mental health need),Education setting with URN,19
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Medical condition (mental health need),One on one tuition,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Medical condition (mental health need),Total,21
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Medical condition (mental health need),Work based placement,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,Education setting with URN,64
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,One on one tuition,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,23
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,Total,106
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Off-site placement for behavioural support,Work based placement,15
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Other,Education setting with URN,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Other,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Other,Registered provider with UKPRN,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Other,Total,18
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Permanent exclusion (where still going through the review process),Education setting with URN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Permanent exclusion (where still going through the review process),Registered provider with UKPRN,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Placement Reason,Permanent exclusion (where still going through the review process),Total,6
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,Education setting with URN,91
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,Other unregistered provider,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,Registered provider with UKPRN,38
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,Total,151
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,North Tyneside,392,Total,Total,Work based placement,16
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (mental health need),Education setting with URN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (mental health need),Other unregistered provider,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (mental health need),Registered provider with UKPRN,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (mental health need),Total,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (physical health need),Education setting with URN,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (physical health need),One on one tuition,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Medical condition (physical health need),Total,6
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,Education setting with URN,9
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,One on one tuition,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,Total,25
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Off-site placement for behavioural support,Work based placement,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Other,Education setting with URN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Other,One on one tuition,3
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Other,Registered provider with UKPRN,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Other,Total,14
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Placement Reason,Other,Work based placement,5
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,Education setting with URN,16
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,One on one tuition,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,Other unregistered provider,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,Registered provider with UKPRN,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,Total,52
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Total,Total,Work based placement,12
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (mental health need),Education setting with URN,12
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (mental health need),One on one tuition,14
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (mental health need),Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (mental health need),Total,27
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (physical health need),Education setting with URN,4
